,Year,Month,State,Primary Mode,Etiology,Etiology Status,Setting,Illnesses,Hospitalizations,Info on Hospitalizations,Deaths,Info on Deaths
828,2009,1,Pennsylvania,0,Norovirus unknown,Confirmed,Long-term care/nursing home/assisted living facility,123,2.0,123.0,0.0,123.0
829,2009,1,Pennsylvania,0,Norovirus unknown,Confirmed,Long-term care/nursing home/assisted living facility,34,1.0,34.0,0.0,34.0
830,2009,7,Nevada,1,Norovirus unknown,Confirmed,Restaurant - Sit-down dining,7,0.0,7.0,0.0,7.0
831,2009,6,North Dakota,1,Salmonella enterica,Confirmed,Private home/residence; Banquet Facility (food prepared and served on-site),55,8.0,55.0,0.0,55.0
832,2009,6,North Dakota,1,Salmonella enterica,Confirmed,Private home/residence; Banquet Facility (food prepared and served on-site),36,2.0,34.0,0.0,34.0
833,2009,6,North Dakota,1,Salmonella enterica,Confirmed,Private home/residence; Banquet Facility (food prepared and served on-site),88,0.0,84.0,0.0,84.0
835,2009,7,Maine,0,Norovirus Genogroup II,Confirmed,Camp,21,0.0,21.0,0.0,21.0
836,2009,6,Maine,1,Salmonella enterica,Confirmed,Private home/residence,6,1.0,6.0,0.0,6.0
838,2009,6,Connecticut,1,Cyclospora cayetanensis,Confirmed,Private home/residence,8,0.0,8.0,0.0,8.0
839,2009,3,Oregon,1,Salmonella enterica,Confirmed,Restaurant - Sit-down dining; Private home/residence,26,8.0,26.0,0.0,26.0
840,2009,5,Oregon,1,Salmonella enterica,Confirmed,Restaurant - Sit-down dining,3,0.0,3.0,0.0,3.0
841,2009,7,Oregon,1,Norovirus Genogroup II,Confirmed,Restaurant - Sit-down dining; Other,31,1.0,31.0,0.0,31.0
842,2009,7,Oregon,1,Norovirus Genogroup II,Confirmed,Restaurant - Sit-down dining,17,0.0,17.0,0.0,17.0
843,2009,7,Oregon,1,Norovirus Genogroup II,Confirmed,Caterer (food prepared off-site from where served),18,0.0,18.0,0.0,18.0
844,2009,8,Oregon,1,Clostridium perfringens,Suspected,Caterer (food prepared off-site from where served),21,0.0,21.0,0.0,21.0
847,2009,2,New York,1,Norovirus,Confirmed,Restaurant - Sit-down dining,13,1.0,13.0,0.0,13.0
849,2009,4,New York,1,Norovirus,Confirmed,School/college/university,40,0.0,37.0,0.0,37.0
853,2009,8,Wisconsin,1,Norovirus Genogroup II,Confirmed,Other,24,0.0,24.0,0.0,24.0
854,2009,6,Michigan,1,Clostridium perfringens,Confirmed,Private home/residence,20,0.0,20.0,0.0,20.0
857,2009,7,Nevada,0,Norovirus unknown,Suspected,Child day care,13,0.0,13.0,0.0,13.0
859,2009,1,Pennsylvania,0,Norovirus unknown,Confirmed,Long-term care/nursing home/assisted living facility,65,0.0,65.0,0.0,65.0
861,2009,2,Pennsylvania,0,Norovirus unknown,Confirmed,Long-term care/nursing home/assisted living facility,76,1.0,76.0,0.0,76.0
862,2009,1,Pennsylvania,0,Norovirus unknown,Confirmed,Long-term care/nursing home/assisted living facility,87,0.0,87.0,0.0,87.0
863,2009,1,Pennsylvania,0,Norovirus unknown,Confirmed,Long-term care/nursing home/assisted living facility,51,0.0,51.0,0.0,51.0
864,2009,2,Pennsylvania,0,Norovirus,Suspected,Long-term care/nursing home/assisted living facility,16,1.0,16.0,0.0,16.0
865,2009,2,Pennsylvania,0,Norovirus,Suspected,Hospital,6,0.0,6.0,0.0,6.0
866,2009,2,Pennsylvania,0,Norovirus,Suspected,Long-term care/nursing home/assisted living facility,34,2.0,34.0,0.0,34.0
867,2009,6,California,1,Norovirus Genogroup I,Confirmed,"Restaurant - ""Fast-food""(drive up service or pay at counter)",19,0.0,19.0,0.0,19.0
868,2009,7,Wisconsin,0,Shigella sonnei,Confirmed,Child day care,7,0.0,7.0,0.0,7.0
872,2009,7,Ohio,1,Salmonella enterica,Confirmed,"Fair, festival, other temp or mobile services",2,1.0,2.0,0.0,2.0
876,2009,7,South Carolina,1,Clostridium perfringens,Confirmed,Banquet Facility (food prepared and served on-site),50,0.0,16.0,0.0,16.0
877,2009,7,New York,1,"Escherichia coli, Shiga toxin-producing",Confirmed,Private home/residence,2,0.0,2.0,0.0,2.0
879,2009,7,New York,1,"Escherichia coli, Shiga toxin-producing",Confirmed,Private home/residence,3,1.0,3.0,0.0,3.0
881,2009,2,Kansas,1,Norovirus unknown,Suspected,Restaurant - Sit-down dining,3,0.0,3.0,0.0,3.0
884,2009,7,Massachusetts,3,Shigella sonnei,Confirmed,Beach - Public,68,6.0,68.0,0.0,68.0
887,2009,4,Minnesota,1,Salmonella enterica,Confirmed,Other,2,0.0,2.0,0.0,2.0
891,2009,7,Georgia,1,Norovirus Genogroup II,Confirmed,"Restaurant - ""Fast-food""(drive up service or pay at counter)",4,0.0,4.0,0.0,4.0
893,2009,8,New York,1,Salmonella enterica,Confirmed,Restaurant - Sit-down dining,12,2.0,12.0,0.0,12.0
895,2009,5,Pennsylvania,1,Salmonella enterica,Confirmed,Restaurant - Sit-down dining,2,0.0,2.0,0.0,2.0
896,2009,6,Pennsylvania,0,Shigella sonnei,Confirmed,Child day care,13,0.0,13.0,0.0,13.0
899,2009,7,Georgia,1,Campylobacter jejuni,Confirmed,Caterer (food prepared off-site from where served),11,0.0,11.0,0.0,11.0
901,2009,7,Tennessee,3,Unknown,Suspected,Hotel/Motel/Lodge/Inn,11,0.0,11.0,0.0,11.0
902,2009,6,Wisconsin,3,"Escherichia coli, Shiga toxin-producing",Confirmed,Park - State Park,7,1.0,7.0,0.0,7.0
903,2009,7,New Hampshire,1,Norovirus Genogroup II,Suspected,Camp,31,1.0,31.0,0.0,31.0
905,2009,1,Georgia,1,Norovirus Genogroup II,Confirmed,Restaurant - Sit-down dining,46,1.0,46.0,0.0,46.0
908,2009,1,Ohio,0,Shigella sonnei,Confirmed,Child day care,2,0.0,2.0,0.0,2.0
909,2009,3,Ohio,0,Shigella sonnei,Confirmed,Child day care,8,0.0,8.0,0.0,8.0
910,2009,8,Minnesota,1,Ciguatoxin,Confirmed,Restaurant - Sit-down dining,3,0.0,3.0,0.0,3.0
911,2009,8,Minnesota,1,"Escherichia coli, Shiga toxin-producing",Confirmed,Private home/residence,6,1.0,6.0,0.0,6.0
912,2009,8,Minnesota,1,"Escherichia coli, Shiga toxin-producing",Confirmed,"Restaurant - ""Fast-food""(drive up service or pay at counter)",3,1.0,3.0,0.0,3.0
914,2009,8,New York,1,"Escherichia coli, Shiga toxin-producing",Confirmed,Camp,2,1.0,2.0,0.0,2.0
915,2009,7,Massachusetts,1,Salmonella enterica,Confirmed,Restaurant - Sit-down dining,6,2.0,6.0,0.0,6.0
918,2009,6,Pennsylvania,2,Campylobacter unknown,Confirmed,Private home/residence,2,0.0,2.0,0.0,2.0
919,2009,8,Tennessee,0,Shigella sonnei,Confirmed,School/college/university,8,0.0,6.0,0.0,6.0
920,2009,8,Illinois,1,Shigella sonnei,Confirmed,Restaurant - Sit-down dining,14,3.0,14.0,0.0,14.0
922,2009,7,Tennessee,1,Salmonella enterica,Confirmed,Restaurant - Sit-down dining,10,3.0,6.0,0.0,6.0
935,2009,9,Illinois,1,Scombroid toxin,Confirmed,Office/indoor workplace,3,0.0,3.0,0.0,3.0
937,2009,6,Florida,1,Clostridium perfringens,Suspected,Restaurant - Sit-down dining,4,0.0,4.0,0.0,4.0
940,2009,1,West Virginia,0,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,14,1.0,14.0,0.0,14.0
942,2009,8,Michigan,1,Salmonella enterica,Confirmed,"Restaurant - ""Fast-food""(drive up service or pay at counter)",9,3.0,9.0,0.0,9.0
943,2009,5,Michigan,1,Salmonella enterica,Confirmed,"Restaurant - ""Fast-food""(drive up service or pay at counter); Restaurant - Sit-down dining",21,7.0,21.0,0.0,21.0
944,2009,8,Minnesota,1,Norovirus,Confirmed,Restaurant - Sit-down dining,2,0.0,2.0,0.0,2.0
949,2009,8,Vermont,0,Norovirus unknown,Confirmed,"Other, specify",2,0.0,2.0,0.0,2.0
952,2009,7,Pennsylvania,0,Norovirus unknown,Confirmed,Camp,350,0.0,350.0,0.0,350.0
953,2009,3,Ohio,0,Norovirus Genogroup II,Confirmed,Child day care,15,0.0,15.0,0.0,15.0
955,2009,1,Pennsylvania,0,Norovirus unknown,Confirmed,Long-term care/nursing home/assisted living facility,51,0.0,51.0,0.0,51.0
956,2009,9,Minnesota,1,Clostridium perfringens,Suspected,Restaurant - Sit-down dining,3,0.0,3.0,0.0,3.0
957,2009,1,Illinois,1,Norovirus Genogroup II,Confirmed,Other,303,0.0,35.0,0.0,35.0
960,2009,7,Oregon,1,Staphylococcus aureus,Suspected,Restaurant - other or unknown type; Other,12,0.0,12.0,0.0,12.0
961,2009,7,Oregon,1,Salmonella enterica,Confirmed,Camp,59,0.0,59.0,0.0,59.0
962,2009,7,Oregon,1,Norovirus Genogroup II,Confirmed,Restaurant - other or unknown type; Private home/residence; Grocery store,8,0.0,8.0,0.0,8.0
963,2009,2,Pennsylvania,0,Norovirus unknown,Confirmed,Long-term care/nursing home/assisted living facility,9,0.0,9.0,0.0,9.0
965,2009,1,Pennsylvania,0,Norovirus unknown,Confirmed,Long-term care/nursing home/assisted living facility,43,0.0,43.0,0.0,43.0
966,2009,1,Pennsylvania,0,Norovirus unknown,Confirmed,Long-term care/nursing home/assisted living facility,96,0.0,96.0,0.0,96.0
967,2009,9,Ohio,1,Norovirus Genogroup II,Suspected,Restaurant - Sit-down dining,6,0.0,6.0,0.0,6.0
968,2009,1,Pennsylvania,0,Norovirus unknown,Confirmed,Hospital,16,0.0,16.0,0.0,16.0
969,2009,7,Virginia,1,Salmonella enterica,Confirmed,Restaurant - other or unknown type,19,2.0,19.0,0.0,19.0
970,2009,1,Pennsylvania,0,Norovirus unknown,Confirmed,Long-term care/nursing home/assisted living facility,120,0.0,120.0,0.0,120.0
971,2009,2,Pennsylvania,0,Norovirus,Suspected,Long-term care/nursing home/assisted living facility,91,0.0,91.0,0.0,91.0
972,2009,1,Pennsylvania,0,Norovirus,Suspected,Long-term care/nursing home/assisted living facility,38,0.0,38.0,0.0,38.0
973,2009,2,Pennsylvania,0,Norovirus unknown,Confirmed,Long-term care/nursing home/assisted living facility,42,0.0,42.0,0.0,42.0
974,2009,2,Pennsylvania,0,Norovirus unknown,Confirmed,Hotel/motel,16,0.0,16.0,0.0,16.0
975,2009,4,Virginia,3,Pseudomonas unknown,Suspected,Hotel/Motel/Lodge/Inn,10,0.0,0.0,0.0,0.0
976,2009,1,California,1,Norovirus unknown,Suspected,Restaurant - other or unknown type,5,0.0,5.0,0.0,5.0
977,2009,3,California,1,Norovirus unknown,Suspected,Restaurant - Sit-down dining,10,0.0,10.0,0.0,10.0
978,2009,1,Virginia,1,Salmonella enterica,Confirmed,Private home/residence,11,1.0,11.0,0.0,11.0
980,2009,9,Illinois,1,Salmonella enterica,Confirmed,Restaurant - other or unknown type; Grocery store,17,6.0,17.0,0.0,17.0
990,2009,6,Washington,1,Scombroid toxin,Confirmed,Private home/residence,3,0.0,3.0,0.0,3.0
995,2009,9,Connecticut,1,Salmonella enterica; Salmonella enterica,Confirmed; Confirmed,Restaurant - other or unknown type,9,0.0,9.0,0.0,9.0
998,2009,8,Kansas,1,Pesticides,Confirmed,Restaurant - Sit-down dining,39,1.0,39.0,0.0,39.0
1001,2009,8,Kansas,1,Salmonella enterica,Confirmed,Restaurant - Sit-down dining,33,7.0,33.0,0.0,33.0
1002,2009,6,Kansas,1,Staphylococcus aureus,Confirmed,Restaurant - Sit-down dining,17,0.0,17.0,0.0,17.0
1006,2009,5,Kansas,1,Norovirus unknown,Confirmed,Restaurant - Sit-down dining,6,0.0,6.0,0.0,6.0
1014,2009,3,Ohio,0,Norovirus Genogroup II,Confirmed,Hospital,15,0.0,0.0,0.0,15.0
1015,2009,4,Ohio,0,Norovirus Genogroup II,Confirmed,Hospital,26,0.0,0.0,0.0,26.0
1017,2009,8,Ohio,1,"Escherichia coli, Shiga toxin-producing",Confirmed,Private home/residence,11,4.0,11.0,0.0,11.0
1018,2009,8,Ohio,1,Salmonella enterica,Suspected,Unknown,2,0.0,2.0,0.0,2.0
1019,2009,6,Ohio,0,Shigella sonnei,Confirmed,Child day care,13,0.0,0.0,0.0,13.0
1021,2009,8,Michigan,1,Salmonella enterica,Confirmed,"Restaurant - ""Fast-food""(drive up service or pay at counter)",14,2.0,14.0,0.0,14.0
1022,2009,9,Maryland,1,Clostridium perfringens,Confirmed,Caterer (food prepared off-site from where served),54,0.0,54.0,0.0,54.0
1025,2009,9,Illinois,1,"Escherichia coli, Shiga toxin-producing",Confirmed,Restaurant - Sit-down dining,4,2.0,4.0,0.0,4.0
1031,2009,9,Illinois,1,Salmonella enterica,Confirmed,Unknown,15,1.0,15.0,0.0,15.0
1032,2009,2,West Virginia,0,Norovirus Genogroup II,Suspected,Hospital,15,7.0,15.0,0.0,15.0
1034,2009,10,Virginia,0,Norovirus unknown,Confirmed,School/college/university,120,0.0,120.0,0.0,120.0
1041,2009,8,Florida,3,Cryptosporidium unknown,Confirmed,Apartment/Condo,8,0.0,8.0,0.0,8.0
1044,2009,5,Arizona,0,Shigella sonnei,Confirmed,Child day care,30,0.0,0.0,0.0,0.0
1045,2009,5,Arizona,0,Shigella sonnei,Confirmed,Child day care,14,0.0,0.0,0.0,0.0
1046,2009,5,Arizona,0,Shigella sonnei,Confirmed,Child day care,5,0.0,5.0,0.0,5.0
1047,2009,6,Arizona,0,Shigella sonnei,Confirmed,Child day care,7,0.0,4.0,0.0,4.0
1051,2009,8,Maryland,1,Salmonella enterica,Confirmed,Private home/residence,27,6.0,27.0,0.0,27.0
1054,2009,1,Wyoming,0,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,12,0.0,12.0,0.0,12.0
1056,2009,4,Wyoming,0,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,10,0.0,10.0,0.0,10.0
1058,2009,9,Ohio,1,Norovirus Genogroup II,Confirmed,Restaurant - other or unknown type,10,0.0,10.0,0.0,10.0
1059,2009,6,Ohio,0,Shigella sonnei,Confirmed,Child day care,38,0.0,38.0,0.0,38.0
1061,2009,10,Michigan,1,Clostridium perfringens,Confirmed,School/college/university; Prison/jail,67,0.0,67.0,0.0,67.0
1066,2009,9,Tennessee,1,Salmonella enterica,Confirmed,Restaurant - Sit-down dining,13,6.0,13.0,0.0,13.0
1067,2009,6,Tennessee,1,Salmonella enterica,Confirmed,Private home/residence,5,0.0,5.0,0.0,5.0
1071,2009,10,Minnesota,1,Norovirus,Confirmed,Restaurant - other or unknown type,27,0.0,27.0,0.0,27.0
1072,2009,8,New York,1,Salmonella enterica,Confirmed,Unknown,10,6.0,10.0,0.0,10.0
1076,2009,9,Pennsylvania,0,Salmonella enterica,Confirmed,Private home/residence,3,0.0,3.0,0.0,3.0
1077,2009,10,New York,1,Norovirus,Confirmed,Restaurant - Sit-down dining; Banquet Facility (food prepared and served on-site),23,0.0,23.0,0.0,23.0
1078,2009,9,Ohio,3,Legionella unknown,Confirmed,Long term care facility,2,2.0,2.0,0.0,2.0
1080,2009,3,California,1,Norovirus Genogroup II,Suspected,Restaurant - other or unknown type,9,0.0,8.0,0.0,8.0
1087,2009,9,Pennsylvania,0,Norovirus unknown,Confirmed,Long-term care/nursing home/assisted living facility,17,0.0,17.0,0.0,17.0
1088,2009,9,Pennsylvania,0,Norovirus unknown,Confirmed,School/college/university,26,0.0,26.0,0.0,26.0
1089,2009,7,Florida,3,Legionella unknown,Confirmed,Club (Requires Membership),2,2.0,2.0,0.0,2.0
1092,2009,8,Oregon,2,"Escherichia coli, Shiga toxin-producing",Confirmed,"Other, specify",2,0.0,2.0,0.0,2.0
1093,2009,9,Oregon,2,"Escherichia coli, Shiga toxin-producing",Confirmed,"Other, specify",4,1.0,4.0,0.0,4.0
1094,2009,5,Oregon,2,Salmonella enterica,Confirmed,"Other, specify",12,5.0,12.0,0.0,12.0
1095,2009,6,Oregon,1,Salmonella enterica,Confirmed,Private home/residence,2,0.0,2.0,0.0,2.0
1097,2009,8,Oregon,2,Salmonella enterica,Confirmed,"Other, specify",3,2.0,2.0,0.0,2.0
1098,2009,2,Oregon,2,Salmonella enterica,Confirmed,"Other, specify",7,2.0,7.0,0.0,7.0
1099,2009,7,Oregon,0,Cryptosporidium,Confirmed,Hospital,16,1.0,16.0,1.0,16.0
1101,2009,2,Pennsylvania,0,Norovirus unknown,Confirmed,Long-term care/nursing home/assisted living facility,34,0.0,34.0,0.0,34.0
1102,2009,10,Vermont,0,Norovirus unknown,Confirmed,Long-term care/nursing home/assisted living facility,16,0.0,16.0,1.0,16.0
1106,2009,11,Minnesota,1,Norovirus,Confirmed,"Restaurant - ""Fast-food""(drive up service or pay at counter)",5,0.0,5.0,0.0,5.0
1112,2009,8,Colorado,1,Staphylococcus aureus,Suspected,Restaurant - Sit-down dining,5,0.0,5.0,0.0,5.0
1114,2009,5,Colorado,1,"Escherichia coli, Shiga toxin-producing",Confirmed,Restaurant - Sit-down dining,3,2.0,3.0,0.0,3.0
1115,2009,8,Colorado,1,Rotavirus,Suspected,Caterer (food prepared off-site from where served); School/college/university,28,1.0,28.0,0.0,28.0
1116,2009,6,Wisconsin,1,Clostridium perfringens,Confirmed,Restaurant - Sit-down dining,7,0.0,7.0,0.0,7.0
1119,2009,2,California,1,Norovirus unknown,Suspected,Restaurant - Sit-down dining,7,1.0,7.0,0.0,7.0
1120,2009,2,California,1,Norovirus unknown,Suspected,Restaurant - other or unknown type,20,0.0,19.0,0.0,19.0
1121,2009,8,California,1,Salmonella enterica,Confirmed,Other,16,0.0,16.0,0.0,16.0
1127,2009,9,Minnesota,0,Cryptosporidium unknown,Confirmed,Child day care,4,1.0,3.0,0.0,3.0
1129,2009,8,Florida,3,Cryptosporidium unknown,Confirmed,Hotel/Motel/Lodge/Inn,5,0.0,5.0,0.0,5.0
1130,2009,3,Colorado,1,Campylobacter jejuni,Confirmed,Other,81,1.0,81.0,0.0,81.0
1131,2009,1,Colorado,1,Norovirus Genogroup II,Suspected,Banquet Facility (food prepared and served on-site),40,0.0,40.0,0.0,40.0
1133,2009,7,Colorado,1,Norovirus,Suspected,Camp,45,0.0,45.0,0.0,45.0
1142,2009,3,Texas,1,Norovirus Genogroup II,Confirmed,Restaurant - Sit-down dining,3,1.0,3.0,0.0,3.0
1144,2009,11,Minnesota,1,Norovirus,Confirmed,Restaurant - Sit-down dining,4,0.0,4.0,0.0,4.0
1145,2009,7,Texas,1,"Escherichia coli, Enterotoxigenic",Confirmed,Restaurant - Sit-down dining,58,0.0,45.0,0.0,58.0
1148,2009,9,Minnesota,0,Cryptosporidium unknown,Confirmed,Child day care,2,0.0,2.0,0.0,2.0
1149,2009,5,Oregon,1,Norovirus Genogroup II,Confirmed,School/college/university,51,1.0,18.0,0.0,51.0
1150,2009,8,Pennsylvania,1,Salmonella enterica,Confirmed,Private home/residence,5,3.0,5.0,0.0,5.0
1151,2009,9,Pennsylvania,1,Salmonella enterica,Confirmed,Restaurant - Sit-down dining,12,0.0,4.0,0.0,4.0
1157,2009,10,North Dakota,1,Clostridium perfringens,Confirmed,Restaurant - other or unknown type,36,0.0,36.0,0.0,36.0
1158,2009,11,Wisconsin,4,Norovirus unknown,Confirmed,Long-term care/nursing home/assisted living facility,24,0.0,24.0,0.0,24.0
1162,2009,8,California,1,Campylobacter jejuni,Suspected,Restaurant - Sit-down dining,6,0.0,6.0,0.0,6.0
1163,2009,1,Wisconsin,0,Norovirus unknown,Confirmed,Long-term care/nursing home/assisted living facility,42,0.0,42.0,0.0,42.0
1164,2009,2,Wisconsin,0,Norovirus unknown,Confirmed,Long-term care/nursing home/assisted living facility,70,0.0,70.0,0.0,70.0
1165,2009,8,Maryland,0,Shigella sonnei,Confirmed,Child day care,21,1.0,21.0,0.0,21.0
1166,2009,11,Maryland,1,"Escherichia coli, Enteroaggregative; Escherichia coli, Enterotoxigenic; Shigella sonnei",Confirmed; Confirmed; Confirmed,Caterer (food prepared off-site from where served),12,0.0,12.0,0.0,12.0
1167,2009,11,Ohio,0,Shigella sonnei,Confirmed,School/college/university,11,0.0,6.0,0.0,6.0
1171,2009,11,Ohio,0,Norovirus Genogroup II,Confirmed,"Other, specify",17,0.0,16.0,0.0,16.0
1177,2009,10,Michigan,1,Salmonella enterica,Confirmed,"Restaurant - ""Fast-food""(drive up service or pay at counter); Restaurant - Sit-down dining",5,0.0,5.0,0.0,5.0
1178,2009,11,Minnesota,1,Norovirus,Suspected,Restaurant - Sit-down dining,29,0.0,29.0,0.0,29.0
1183,2009,11,Tennessee,1,Norovirus Genogroup II,Confirmed,Restaurant - Sit-down dining,36,3.0,36.0,0.0,36.0
1184,2009,9,New York,1,Salmonella enterica,Confirmed,Private home/residence,6,0.0,6.0,0.0,6.0
1185,2009,12,Minnesota,0,Norovirus,Suspected,School/college/university,84,0.0,0.0,0.0,0.0
1187,2009,11,Minnesota,1,Salmonella enterica,Confirmed,Private home/residence,19,0.0,19.0,0.0,19.0
1191,2009,12,Pennsylvania,0,Norovirus unknown,Suspected,Prison/jail,12,0.0,12.0,0.0,12.0
1192,2009,12,Pennsylvania,1,Bacillus cereus,Confirmed,"Restaurant - ""Fast-food""(drive up service or pay at counter)",4,0.0,4.0,0.0,4.0
1196,2009,3,New York,3,Chloramines,Confirmed,Hotel/Motel/Lodge/Inn,31,0.0,31.0,0.0,31.0
1205,2009,6,New York,3,Cyanotoxin unknown,Suspected,Beach - Public,2,0.0,2.0,0.0,2.0
1207,2009,5,Kansas,1,Salmonella enterica,Suspected,"Restaurant - ""Fast-food""(drive up service or pay at counter)",2,0.0,2.0,0.0,2.0
1209,2009,10,Kansas,1,Norovirus unknown,Suspected,Restaurant - Sit-down dining,4,0.0,4.0,0.0,4.0
1212,2009,12,Ohio,0,Norovirus Genogroup II,Confirmed,Child day care,64,0.0,64.0,0.0,64.0
1213,2009,12,Ohio,1,Norovirus Genogroup II,Confirmed,"Restaurant - ""Fast-food""(drive up service or pay at counter)",4,0.0,4.0,0.0,4.0
1216,2009,9,Pennsylvania,0,Shigella sonnei,Confirmed,Child day care,6,0.0,6.0,0.0,6.0
1218,2009,12,New York,1,Clostridium perfringens,Suspected,Restaurant - Sit-down dining,10,0.0,10.0,0.0,10.0
1219,2009,12,New York,1,Norovirus unknown,Confirmed,Restaurant - Sit-down dining,37,1.0,37.0,0.0,37.0
1220,2009,12,New York,1,Norovirus unknown,Confirmed,Caterer (food prepared off-site from where served),20,0.0,20.0,0.0,20.0
1221,2009,9,Pennsylvania,0,Shigella sonnei,Confirmed,School/college/university,11,0.0,11.0,0.0,11.0
1222,2009,12,Tennessee,0,Norovirus Genogroup II,Confirmed,Restaurant,5,0.0,5.0,0.0,5.0
1224,2009,12,Wisconsin,1,Norovirus Genogroup II,Confirmed,Caterer (food prepared off-site from where served),16,0.0,16.0,0.0,16.0
1227,2009,9,Missouri,0,Shigella sonnei,Confirmed,Child day care,4,0.0,4.0,0.0,4.0
1228,2009,4,Missouri,0,Shigella sonnei,Confirmed,"Other, specify",39,2.0,39.0,0.0,39.0
1229,2009,1,Ohio,0,Shigella sonnei,Confirmed,Child day care,2,0.0,2.0,0.0,2.0
1231,2009,2,Ohio,0,Shigella sonnei,Confirmed,Child day care,2,0.0,2.0,0.0,2.0
1232,2009,2,Ohio,0,Shigella sonnei,Confirmed,Child day care,8,0.0,8.0,0.0,8.0
1234,2009,3,Ohio,0,Shigella sonnei,Confirmed,Child day care,5,0.0,5.0,0.0,5.0
1235,2009,4,Ohio,0,Shigella sonnei,Confirmed,Child day care,6,0.0,6.0,0.0,6.0
1236,2009,4,Ohio,0,Shigella sonnei,Confirmed,Child day care,12,0.0,0.0,0.0,10.0
1237,2009,4,Ohio,0,Shigella sonnei,Confirmed,Child day care,2,0.0,2.0,0.0,2.0
1240,2009,1,Pennsylvania,0,Norovirus unknown,Confirmed,Long-term care/nursing home/assisted living facility,10,0.0,10.0,0.0,10.0
1241,2009,3,Pennsylvania,0,Norovirus unknown,Confirmed,Long-term care/nursing home/assisted living facility,38,0.0,38.0,0.0,38.0
1243,2009,3,Pennsylvania,0,Shigella sonnei,Suspected,Private home/residence,6,0.0,6.0,0.0,6.0
1251,2009,10,New York,1,Salmonella enterica,Confirmed,Restaurant - Sit-down dining,5,0.0,5.0,0.0,5.0
1253,2009,1,North Dakota,0,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,25,0.0,25.0,0.0,25.0
1254,2009,4,Florida,1,Norovirus Genogroup II,Confirmed,Banquet Facility (food prepared and served on-site),17,0.0,17.0,0.0,17.0
1257,2009,2,North Dakota,0,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,41,0.0,30.0,0.0,30.0
1261,2009,12,Kansas,1,Norovirus unknown,Confirmed,Restaurant - Sit-down dining,14,0.0,14.0,0.0,14.0
1262,2009,5,Arizona,0,Shigella sonnei,Confirmed,Child day care,9,1.0,7.0,0.0,7.0
1266,2009,1,Florida,1,Norovirus Genogroup II,Confirmed,"Restaurant - ""Fast-food""(drive up service or pay at counter)",11,0.0,11.0,0.0,11.0
1268,2009,1,Florida,1,Norovirus Genogroup II,Suspected,Restaurant - Sit-down dining,3,0.0,3.0,0.0,3.0
1269,2009,12,Ohio,0,Norovirus Genogroup II,Confirmed,Child day care,49,1.0,43.0,0.0,43.0
1270,2009,6,Washington,1,Salmonella enterica,Confirmed,Hospital,4,0.0,4.0,0.0,4.0
1271,2009,2,North Dakota,0,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,111,0.0,84.0,2.0,84.0
1275,2009,10,Pennsylvania,0,Shigella sonnei,Confirmed,"Other, specify",84,2.0,84.0,0.0,84.0
1276,2009,4,North Dakota,0,Norovirus Genogroup II,Confirmed,Hospital,30,0.0,0.0,0.0,30.0
1277,2009,11,South Carolina,1,Staphylococcus aureus; Clostridium perfringens; Salmonella enterica,Confirmed; Confirmed; Confirmed,Other,59,17.0,59.0,0.0,59.0
1278,2009,11,South Carolina,1,Norovirus Genogroup II,Confirmed,Private home/residence,8,0.0,8.0,0.0,8.0
1279,2009,12,Ohio,1,Clostridium perfringens,Confirmed,Caterer (food prepared off-site from where served),9,0.0,9.0,0.0,9.0
1281,2009,7,Washington,1,Salmonella enterica,Confirmed,Camp,62,0.0,62.0,0.0,62.0
1282,2009,12,South Carolina,0,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,175,18.0,175.0,1.0,175.0
1283,2009,12,South Carolina,1,Norovirus Genogroup II,Confirmed,Restaurant - Sit-down dining,9,0.0,9.0,0.0,9.0
1285,2009,4,Washington,1,Norovirus,Suspected,"Restaurant - ""Fast-food""(drive up service or pay at counter)",10,0.0,10.0,0.0,10.0
1287,2009,2,Florida,1,Norovirus,Suspected,Restaurant - Sit-down dining,5,0.0,3.0,0.0,3.0
1298,2009,11,Ohio,1,Norovirus Genogroup II,Suspected,Restaurant - Sit-down dining,4,0.0,4.0,0.0,4.0
1304,2009,11,Georgia,1,Salmonella enterica,Confirmed,Private home/residence,17,3.0,17.0,0.0,17.0
1305,2009,12,Connecticut,1,Norovirus Genogroup II,Confirmed,"Restaurant - ""Fast-food""(drive up service or pay at counter)",6,0.0,6.0,0.0,6.0
1306,2009,11,Missouri,1,Salmonella enterica,Confirmed,Private home/residence,6,1.0,6.0,0.0,6.0
1308,2009,1,Pennsylvania,0,Norovirus,Suspected,Long-term care/nursing home/assisted living facility,50,11.0,50.0,0.0,50.0
1316,2009,11,Arizona,0,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,17,5.0,17.0,0.0,17.0
